,name,trimmed_name
9592,genie gateway,genie gateway
9593,"china automotive systems, inc.",china automotive systems
9594,clancy corp.,clancy
9595,axesstel inc,axesstel
9596,"brooklyn immunotherapeutics, inc.",brooklyn immunotherapeutics
9597,"surmodics, inc.",surmodics
9598,dutch bros inc.,dutch bros
9600,"omnicell, inc",omnicell
9601,"bnet media group, inc.",bnet media group
9602,hoops scouting usa,hoops scouting usa
9603,infinite acquisition corp.,infinite acquisition
9604,"024 pharma, inc.",024 pharma
9605,santander uk group holdings plc,santander uk group holdings pl
9606,e-debit global corp.,e-debit global
9607,"reef global energy vi, l.p.",reef global energy vi
9608,aquilex holdings llc,aquilex holdings
9609,kunekt corp,kunekt
9611,the sherwin-williams company,the sherwin-williams company
9612,"progyny, inc.",progyny
9613,first acceptance corp /de/,first acceptance corp /de/
9615,pacific mercantile bancorp,pacific mercantile ban
9616,"asia training institute us, inc.",asia training institute us
9617,"km wedding events management, inc.",km wedding events management
9618,greentek corp.,greentek
9619,"arrestage international, inc.",arrestage international
9620,sangui biotech international inc,sangui biotech international
9621,clickstream corporation,clickstream
9622,"ensign group, inc",ensign group
9623,china ginseng holdings inc,china ginseng holdings
9624,ssr mining inc.,ssr mining
9625,cheviot financial corp,cheviot financial
9626,altenergy acquisition corp.,altenergy acquisition
9627,metropolitan bank holding corp.,metropolitan bank holding
9628,"spectrum brands holdings, inc.",spectrum brands holdings
9629,billet finder inc,billet finder
9630,"american apparel, inc",american apparel
9631,synergy empire limited,synergy empire limited
9632,"northport network systems, inc.",northport network systems
9633,"china education international, inc.",china education international
9634,dominovas energy corp,dominovas energy
9635,"transmedics group, inc.",transmedics group
9637,morgans hotel group co.,morgans hotel group
9638,sealand natural resources inc,sealand natural resources
9639,"ml capital group, inc.",ml capital group
9640,urologix inc,urologix
9642,vectren utility holdings inc,vectren utility holdings
9644,"e2open parent holdings, inc.",e2open parent holdings
9645,"cim real estate finance trust, inc.",cim real estate finance trust
9646,"artelo biosciences, inc.",artelo biosciences
9647,lightjump acquisition corporation,lightjump acquisition
9648,"gulf island fabrication, inc.",gulf island fabrication
9650,sally holdings llc,sally holdings
9651,"gyrodyne, llc",gyrodyne
9652,west corp,west
9653,"jangit enterprises, inc.",jangit enterprises
9654,federal express corp,federal express
9656,landauer inc,landauer
9658,l&l acquisition corp.,l&l acquisition
9659,ferro corporation,ferro
9660,"carter’s, inc.",carter’s
9661,command security corp,command security
9664,wnc housing tax credit fund vi lp series 5,wnc housing tax credit fund vi lp series 5
9665,newgen biopharma corp.,newgen biopharma
9666,"tongli pharmaceuticals (usa), inc.",tongli pharmaceuticals (usa)
9667,interups inc,interups
9668,"dougherty's pharmacy, inc.",dougherty's pharmacy
9669,wolverine holding corp.,wolverine holding
9671,valley commerce bancorp,valley commerce ban
9672,canandaigua national corp,canandaigua national
9673,"ruths hospitality group, inc.",ruths hospitality group
9674,cavendish futures fund llc,cavendish futures fund
9675,"natural grocers by vitamin cottage, inc.",natural grocers by vitamin cottage
9676,independence tax credit plus lp iv,independence tax credit plus lp iv
9677,imerjn inc.,imerjn
9679,cnooc ltd,cnooc
9680,rare element resources ltd,rare element resources
9682,pruco life of new jersey variable contract real property acc,pruco life of new jersey variable contract real property ac
9684,modern city entertainment inc.,modern city entertainment
9685,vizsla silver corp.,vizsla silver
9686,staar surgical co,staar surgical
9687,wmi liquidating trust,wmi liquidating trust
9688,puretech health plc,puretech health pl
9689,"thedirectory.com, inc.",thedirectory.com
9690,wshares enhanced gold etf,wshares enhanced gold etf
9692,"flanigan's enterprises, inc",flanigan's enterprises
9693,chubb limited,chubb limited
9694,"tandy leather factory, inc",tandy leather factory
9695,amcol international corp,amcol international
9696,"capstar financial holdings, inc.",capstar financial holdings
9697,synthesis energy systems inc,synthesis energy systems
9698,"gaming technologies, inc.",gaming technologies
9699,hudson executive investment corp. ii,hudson executive investment corp. ii
9700,dean foods company,dean foods company
9701,kior inc,kior
9702,elbit imaging ltd,elbit imaging
9703,fifth street asset management inc.,fifth street asset management
9705,"latch, inc.",latch
9706,c & f financial corporation,c & f financial
9707,"ag acquisition group iii, inc.",ag acquisition group iii
9708,fision corporation,fision
9709,clarcor inc.,clarcor
9710,american dental partners inc,american dental partners
9711,sonesta international hotels corp,sonesta international hotels
9712,"provectus biopharmaceuticals, inc.",provectus biopharmaceuticals
9713,aveanna healthcare holdings inc.,aveanna healthcare holdings
9714,flotek industries inc/cn,flotek industries inc/cn
9715,wms industries inc /de/,wms industries inc /de/
9716,goldfields international inc,goldfields international
9717,"portsmouth square, inc",portsmouth square
9718,phoenix biotech acquisition corp.,phoenix biotech acquisition
9719,sequenom inc,sequenom
9720,polonia bancorp,polonia ban
9721,"inventergy global, inc.",inventergy global
9722,"conn’s, inc.",conn’s
9724,first citizens bancshares inc /tn/,first citizens bancshares inc /tn/
9725,china infrastructure construction corp,china infrastructure construction
9726,"quinstreet, inc.",quinstreet
9727,"roan resources, inc.",roan resources
9728,chiquita brands international inc,chiquita brands international
9729,"greenlane holdings, inc.",greenlane holdings
9730,"ebullion, inc.",ebullion
9731,"superior industries international, inc.",superior industries international
9732,maquia capital acquisition corp,maquia capital acquisition
9733,"riot blockchain, inc.",riot blockchain
9734,finward bancorp,finward ban
9735,daystar technologies inc,daystar technologies
9736,"servisfirst bancshares, inc.",servisfirst bancshares
9738,olympic steel inc,olympic steel
9739,cimpress plc,cimpress pl
9740,moneylion inc.,moneylion
9741,home system group,home system group
9742,nano labs corp.,nano labs
9743,xl fleet corp.,xl fleet
9744,ryerson inc.,ryerson
9745,midas inc,midas
9746,alamos gold inc,alamos gold
9747,valley financial corp /va/,valley financial corp /va/
9748,hexcel corporation,hexcel
9749,e-house (china) holdings ltd,e-house (china) holdings
9750,"landstar system, inc.",landstar system
9751,cardiol therapeutics inc.,cardiol therapeutics
9752,one xl corp,one xl
9753,kairous acquisition corp. limited,kairous acquisition corp. limited
9754,"heliogen, inc.",heliogen
9755,ameriana bancorp,ameriana ban
9756,atlantic union bankshares corp,atlantic union bankshares
9757,"waste connections, inc.",waste connections
9758,"first capital international, inc",first capital international
9759,chinamerica andy movie entertainment media co.,chinamerica andy movie entertainment media
9760,"international money express, inc.",international money express
9761,rvl pharmaceuticals plc,rvl pharmaceuticals pl
9762,vertical aerospace ltd.,vertical aerospace
9763,"emr technology solutions, inc.",emr technology solutions
9764,helpful alliance co,helpful alliance
9765,international textile group inc,international textile group
9766,bioclinica inc,bioclinica
9767,quantum corp /de/,quantum corp /de/
9768,business warrior corp.,business warrior
9769,"fdctech, inc",fdctech
9770,"jerash holdings (us), inc.",jerash holdings (us)
9772,mtge investment corp.,mtge investment
9773,"augmedix, inc.",augmedix
9774,"propel media, inc.",propel media
9775,northwest natural holding company,northwest natural holding company
9776,heyu biological technology corp,heyu biological technology
9778,direct markets holdings corp.,direct markets holdings
9779,shangpharma corp,shangpharma
9780,goldmining inc.,goldmining
9781,opthea limited,opthea limited
9782,monday.com ltd.,monday.com
9783,figure acquisition corp. i,figure acquisition corp. i
9784,frontera group inc.,frontera group
9785,china techfaith wireless communication technology ltd,china techfaith wireless communication technology
9786,"artisan consumer goods, inc.",artisan consumer goods
9787,"ashford hospitality trust, inc",ashford hospitality trust
9788,eventiko inc.,eventiko
9789,sitel worldwide corp,sitel worldwide
9793,banco santander (brasil) s.a.,banco santander (brasil) s.a.
9795,"achieve life sciences, inc.",achieve life sciences
9796,verona pharma plc,verona pharma pl
9797,"bespoke extracts, inc.",bespoke extracts
9798,"china liaoning dingxu ecological agriculture development, inc.",china liaoning dingxu ecological agriculture development
9799,"nextdoor holdings, inc",nextdoor holdings
9800,green giant inc.,green giant
9801,tottenham acquisition i ltd,tottenham acquisition i
9802,"ehouse global, inc.",ehouse global
9804,modern media acquisition corp.,modern media acquisition
9806,american magna corp,american magna
9807,"resource holdings, inc.",resource holdings
9808,"environmental packaging technologies holdings, inc.",environmental packaging technologies holdings
9809,cancer capital corp.,cancer capital
9811,horsehead holding corp,horsehead holding
9812,bailey frances corp,bailey frances
9813,"universal health services, inc.",universal health services
9814,clipper realty inc.,clipper realty
9816,"puget technologies, inc.",puget technologies
9817,legacy housing corporation,legacy housing
9818,dionex corp /de,dionex corp /de
9819,voltari corp,voltari
9820,cc holdings gs v llc,cc holdings gs v
9821,extra space storage inc.,extra space storage
9822,"medical innovation holdings, inc.",medical innovation holdings
9823,presbia plc,presbia pl
9824,american shared hospital services,american shared hospital services
9825,first busey corporation,first busey
9826,opendoor technologies inc.,opendoor technologies
9827,"doyen elements, inc.",doyen elements
9828,"sputnik enterprises, inc",sputnik enterprises
9829,"vocus, inc.",vocus
9830,"coherus biosciences, inc.",coherus biosciences
9831,ss&c technologies inc,ss&c technologies
9832,public storage,public storage
9833,"webstar technology group, inc.",webstar technology group
9834,flatbush federal bancorp inc,flatbush federal bancorp
9835,"la cortez energy, inc.",la cortez energy
9836,directv holdings llc,directv holdings
9838,dress barn inc,dress barn
9839,florida east coast railway corp.,florida east coast railway
9840,deltathree inc,deltathree
9841,"reon holdings, inc.",reon holdings
9842,independent film development corp,independent film development
9843,medical imaging corp.,medical imaging
9844,yinfu gold corporation,yinfu gold
9845,pretium packaging l l c,pretium packaging l l
9846,"plus therapeutics, inc.",plus therapeutics
9847,genesis growth tech acquisition corp.,genesis growth tech acquisition
9848,taseko mines limited,taseko mines limited
9849,transakt ltd.,transakt
9850,"avidity biosciences, inc.",avidity biosciences
9851,"ignite restaurant group, inc.",ignite restaurant group
9852,"embark technology, inc.",embark technology
9853,"staffing 360 solutions, inc.",staffing 360 solutions
9855,ccf holdings llc,ccf holdings
9856,innodata inc,innodata
9857,magna international inc.,magna international
9858,medicus sciences acquisition corp.,medicus sciences acquisition
9859,upwork inc.,upwork
9860,romulus corp.,romulus
9861,"boomerang systems, inc.",boomerang systems
9862,"ecb bancorp, inc.",ecb bancorp
9863,"slack technologies, inc.",slack technologies
9864,dish dbs corporation,dish dbs
9865,"infinity augmented reality, inc.",infinity augmented reality
9866,ultimate software group inc,ultimate software group
9867,veriteq,veriteq
9868,hanesbrands inc.,hanesbrands
9869,smart technologies inc.,smart technologies
9870,"alco, inc.",alco
9872,"crocs, inc.",crocs
9873,salient products corp,salient products
9874,strongbridge biopharma plc,strongbridge biopharma pl
9875,"1st united bancorp, inc.",1st united bancorp
9876,"bj’s wholesale club holdings, inc.",bj’s wholesale club holdings
9877,rediff com india ltd,rediff com india
9879,peoples bancorp inc/md,peoples bancorp inc/md
9880,agile therapeutics inc,agile therapeutics
9881,"ainos, inc.",ainos
9882,beacon power corp,beacon power
9883,network engines inc,network engines
9885,edison international,edison international
9886,"ipkv holdings, inc.",ipkv holdings
9887,"midas medici group holdings, inc.",midas medici group holdings
9888,kelso technologies inc.,kelso technologies
9889,"afh acquisition vii, inc.",afh acquisition vii
9890,"nocopi technologies, inc.",nocopi technologies
9891,hall of fame resort & entertainment co,hall of fame resort & entertainment
9892,delphi financial group inc/de,delphi financial group inc/de
9893,"homie recipes, inc.",homie recipes
9894,"fortinet, inc.",fortinet
9896,vontier corporation,vontier
9897,graham packaging holdings co,graham packaging holdings
9898,trinity capital corp,trinity capital
9900,"fitlife brands, inc.",fitlife brands
9901,advisory board co,advisory board
9902,"rio bravo oil, inc.",rio bravo oil
9903,sillenger exploration corp.,sillenger exploration
9904,"forterra, inc.",forterra
9905,switchback ii corp,switchback ii
9907,qornerstone inc.,qornerstone
9908,mobile telesystems public joint stock co,mobile telesystems public joint stock
9909,western asset mortgage capital corporation,western asset mortgage capital
9910,"verus international, inc.",verus international
9911,"zerify, inc.",zerify
9912,"eco-tek group, inc.",eco-tek group
9913,alaska pacific bancshares inc,alaska pacific bancshares
9914,avalon globocare corp.,avalon globocare
9915,california petroleum transport corp,california petroleum transport
9917,gladstone land corp,gladstone land
9918,api group corporation,api group
9920,valor latitude acquisition corp.,valor latitude acquisition
9921,bunge limited,bunge limited
9922,albemarle corporation,albemarle
9923,osprey bitcoin trust,osprey bitcoin trust
9924,onto innovation inc.,onto innovation
9925,flagship global corp,flagship global
9926,ladenburg thalmann financial services inc.,ladenburg thalmann financial services
9927,genesis financial inc,genesis financial
9928,ricebran technologies,ricebran technologies
9929,"microvision, inc.",microvision
9930,human genome sciences inc,human genome sciences
9931,"salesforce, inc.",salesforce
9932,"iveric bio, inc.",iveric bio
9933,"ag acquisition group, inc.",ag acquisition group
9934,dutch gold resources inc,dutch gold resources
9935,"dara biosciences, inc.",dara biosciences
9936,signal hill acquisition corp.,signal hill acquisition
9937,metal sky star acquisition corporation,metal sky star acquisition
9938,"cardinal health, inc.",cardinal health
9939,"face up entertainment group, inc.",face up entertainment group
9940,bank7 corp.,bank7
9942,"hospitality investors trust, inc.",hospitality investors trust
9943,pinnacle foods inc.,pinnacle foods
9944,"builders firstsource, inc.",builders firstsource
9945,consolidated capital institutional properties 2,consolidated capital institutional properties 2
9946,alamo energy corp.,alamo energy
9947,alpine acquisition corp.,alpine acquisition
9948,national presto industries inc,national presto industries
9949,edify acquisition corp.,edify acquisition
9950,"clear secure, inc.",clear secure
9951,kensey nash corp,kensey nash
9953,addus homecare corporation,addus homecare
9954,"blackstone real estate income trust, inc.",blackstone real estate income trust
9955,unr holdings inc,unr holdings
9956,enernoc inc,enernoc
9958,double down holdings inc.,double down holdings
9959,"amplify snack brands, inc",amplify snack brands
9960,"looksmart group, inc.",looksmart group
9961,"summit hotel properties, inc.",summit hotel properties
9962,"nature’s sunshine products, inc.",nature’s sunshine products
9964,"b. riley financial, inc.",b. riley financial
9965,gabbit corp.,gabbit
9966,solarcity corp,solarcity
9967,"neuropathix, inc.",neuropathix
9968,aeon global health corp.,aeon global health
9969,raptor pharmaceutical corp,raptor pharmaceutical
9970,manchester united plc,manchester united pl
9971,green automotive co,green automotive
9972,"rti surgical, inc.",rti surgical
9973,"ppd, inc.",ppd
9974,linx s.a.,linx s.a.
9975,"spendsmart networks, inc.",spendsmart networks
9976,farmers & merchants bancorp,farmers & merchants ban
9977,gyrotron technology inc,gyrotron technology
9978,"sight sciences, inc.",sight sciences
9979,"superfund green, l.p.",superfund green
9980,"forte biosciences, inc.",forte biosciences
9981,"kaival brands innovations group, inc.",kaival brands innovations group
9982,boa acquisition corp.,boa acquisition
9983,"anaplan, inc.",anaplan
9984,aristocrat group corp.,aristocrat group
9985,greencity acquisition corporation,greencity acquisition
9986,adecoagro s.a.,adecoagro s.a.
9987,omnichannel acquisition corp.,omnichannel acquisition
9988,purplereal.com corp.,purplereal.com
9989,currencyshares russian ruble trust,currencyshares russian ruble trust
9990,gates industrial corporation plc,gates industrial corporation pl
9991,anthera pharmaceuticals inc,anthera pharmaceuticals
9992,"athenex, inc.",athenex
9993,santaro interactive entertainment co,santaro interactive entertainment
9994,banco santander-chile,banco santander-chile
9996,"aurum, inc.",aurum
9997,moveix inc,moveix
9998,nemaura medical inc.,nemaura medical
9999,"acurx pharmaceuticals, inc.",acurx pharmaceuticals
10000,"newage, inc.",newage
10001,dynamic enviro inc.,dynamic enviro
10002,"diamond holdings, inc.",diamond holdings
10003,liberty energy corp.,liberty energy
10004,"global brokerage, inc.",global brokerage
10005,qihoo 360 technology co ltd,qihoo 360 technology co
10006,"turning point therapeutics, inc.",turning point therapeutics
10007,"cascadian therapeutics, inc.",cascadian therapeutics
10008,aina le'a inc.,aina le'a
10009,bnc bancorp,bnc ban
10010,"kindred biosciences, inc.",kindred biosciences
10011,"nicolet bankshares, inc",nicolet bankshares
10012,"polypore international, inc.",polypore international
10013,china southern airlines company limited,china southern airlines company limited
10014,weatherford international ltd./switzerland,weatherford international ltd./switzerland
10015,"velocity financial, inc.",velocity financial
10016,credit suisse ag,credit suisse ag
10017,tengjun biotechnology corp.,tengjun biotechnology
10018,"consolidated communications holdings, inc.",consolidated communications holdings
10019,"nuvera communications, inc.",nuvera communications
10021,australia acquisition corp,australia acquisition
10022,on track innovations ltd.,on track innovations
10023,united express inc.,united express
10024,"blackstone mortgage trust, inc.",blackstone mortgage trust
10025,andeavor,andeavor
10026,shiloh industries inc,shiloh industries
10027,puebla resources corp.,puebla resources
10028,"merrill lynch & co., inc.",merrill lynch & co.
10029,"raptor technology group, inc.",raptor technology group
10030,pericom semiconductor corp,pericom semiconductor
10032,neptune wellness solutions inc.,neptune wellness solutions
10033,"solar energy initiatives, inc.",solar energy initiatives
10034,nation energy inc,nation energy
10035,kaskad corp.,kaskad
10037,"adynxx, inc.",adynxx
10038,select income reit,select income reit
10039,"peerlogix, inc.",peerlogix
10040,"united states 12 month natural gas fund, lp",united states 12 month natural gas fund
10041,"best hometown bancorp, inc.",best hometown bancorp
10042,summit financial services group inc,summit financial services group
10043,trend innovations holding inc,trend innovations holding
10044,trulieve cannabis corp.,trulieve cannabis
10045,telus corporation,telus
10046,prokidney corp.,prokidney
10047,"altegris winton futures fund, l.p.",altegris winton futures fund
10048,"inland real estate income trust, inc.",inland real estate income trust
10049,gilat satellite networks ltd,gilat satellite networks
10050,american eagle energy inc.,american eagle energy
10052,bridgford foods corporation,bridgford foods
10054,encore wire corp,encore wire
10055,"level one bancorp, inc.",level one bancorp
10056,edgewater technology inc/de/,edgewater technology inc/de/
10057,pmc sierra inc,pmc sierra
10058,"lifecare holdings, inc.",lifecare holdings
10060,zipcar inc,zipcar
10062,tropicana entertainment inc.,tropicana entertainment
10063,noble rock acquisition corp,noble rock acquisition
10064,event cardio group inc.,event cardio group
10065,"olema pharmaceuticals, inc.",olema pharmaceuticals
10066,viad corp,viad
10067,"wps, inc.",wps
10068,"aware, inc.",aware
10069,srkp 24 inc,srkp 24
10071,united states basketball league inc,united states basketball league
10072,"green stream holdings, inc.",green stream holdings
10073,vershire corp,vershire
10074,puyi inc.,puyi
10075,"campbell global trend fund, l.p.",campbell global trend fund
10076,xenoport inc,xenoport
10077,ottawa bancorp inc,ottawa bancorp
10078,"support.com, inc.",support.com
10079,digagogo ventures corp,digagogo ventures
10080,"selectis health, inc.",selectis health
10081,tzp strategies acquisition corp.,tzp strategies acquisition
10082,"manning & napier, inc.",manning & napier
10083,"eureka homestead bancorp, inc.",eureka homestead bancorp
10085,"alto ingredients, inc.",alto ingredients
10086,collabrium japan acquisition corp,collabrium japan acquisition
10087,helicos biosciences corp,helicos biosciences
10088,"reef global energy viii, l.p.",reef global energy viii
10089,folkup development inc.,folkup development
10090,nimble storage inc,nimble storage
10091,heartland express inc,heartland express
10092,sustainable development acquisition i corp.,sustainable development acquisition i
10093,"digital brand media & marketing group, inc.",digital brand media & marketing group
10094,hello group inc.,hello group
10095,ccfnb bancorp inc,ccfnb bancorp
10096,seaspine holdings corporation,seaspine holdings
10097,simon worldwide inc,simon worldwide
10098,apex 10 inc.,apex 10
10099,"cheniere energy partners lp holdings, llc",cheniere energy partners lp holdings
10100,king pharmaceuticals inc,king pharmaceuticals
10101,avx corp,avx
10104,trunkbow international holdings ltd,trunkbow international holdings
10105,pipergy inc.,pipergy
10106,"biosig technologies, inc.",biosig technologies
10107,"nanovibronix, inc",nanovibronix
10108,cgg,cgg
10109,"voyager therapeutics, inc.",voyager therapeutics
10111,"orion group holdings, inc.",orion group holdings
10113,jjy holding group,jjy holding group
10114,cullen agricultural holding corp,cullen agricultural holding
10115,inova technology inc.,inova technology
10117,"ps business parks, inc./md","ps business parks, inc./md"
10118,"geobio energy, inc.",geobio energy
10119,"t bancshares, inc.",t bancshares
10120,yume inc,yume
10121,isabella bank corp,isabella bank
10122,twc tech holdings ii corp.,twc tech holdings ii
10123,principia biopharma inc.,principia biopharma
10124,norbord inc.,norbord
10125,hms holdings corp.,hms holdings
10126,liberty latin america ltd.,liberty latin america
10127,tcf financial corporation,tcf financial
10128,"blockchain of things, inc.",blockchain of things
10129,"pow! entertainment, inc.",pow! entertainment
10130,pervasive software inc,pervasive software
10131,american heritage international inc.,american heritage international
10132,bravo enterprises ltd.,bravo enterprises
10133,"flagstone reinsurance holdings, s.a.","flagstone reinsurance holdings, s.a."
10134,w&e source corp.,w&e source
10135,innospec inc.,innospec
10136,"immunogen, inc.",immunogen
10137,investors capital holdings ltd,investors capital holdings
10138,css industries inc,css industries
10139,energy conversion devices inc,energy conversion devices
10140,american sierra gold corp.,american sierra gold
10141,united refining co,united refining
10142,paramount global,paramount global
10143,tucson electric power co,tucson electric power
10144,local bounti corporation/de,local bounti corporation/de
10145,"innovative medtech, inc.",innovative medtech
10146,"module one rd, inc",module one rd
10147,"cls holdings usa, inc.",cls holdings usa
10148,motos america inc.,motos america
10149,bill barrett corp,bill barrett
10150,lf capital acquisition corp. ii,lf capital acquisition corp. ii
10151,"perficient, inc.",perficient
10152,ditech holding corp,ditech holding
10153,"gofba, inc.",gofba
10154,jinxuan coking coal ltd,jinxuan coking coal
10155,"select energy services, inc.",select energy services
10156,"perimeter solutions, sa","perimeter solutions, sa"
10157,monster beverage corporation,monster beverage
10159,goodrich petroleum corporation,goodrich petroleum
10160,entree resources ltd.,entree resources
10161,disability access corp,disability access
10162,arrow financial corporation,arrow financial
10163,portland general electric company,portland general electric company
10164,archer-daniels-midland co,archer-daniels-midland
10165,"molecular templates, inc.",molecular templates
10167,"cohen & steers, inc.",cohen & steers
10168,hyrecar inc.,hyrecar
10169,"online disruptive technologies, inc.",online disruptive technologies
10170,"thermogenesis holdings, inc.",thermogenesis holdings
10171,inky inc.,inky
10172,"datchat, inc.",datchat
10173,technology & telecommunication acquisition corporation,technology & telecommunication acquisition
10175,"new peoples bankshares, inc.",new peoples bankshares
10176,"sunshine state capital investments, inc",sunshine state capital investments
10177,marriott international inc /md/,marriott international inc /md/
10178,"america greener technologies, inc.",america greener technologies
10179,dst systems inc,dst systems
10180,"novo integrated sciences, inc.",novo integrated sciences
10181,boise inc.,boise
10182,brookfield renewablecorporation,brookfield renewable
10183,"the bancorp, inc.",the bancorp
10184,winland ocean shipping corp,winland ocean shipping
10185,goodyear tire & rubber co /oh/,goodyear tire & rubber co /oh/
10186,lincare holdings inc,lincare holdings
10187,globestar therapeutics corporation,globestar therapeutics
10189,"revett mining company, inc.",revett mining company
10190,"constellation brands, inc.",constellation brands
10191,metals usa inc,metals usa
10192,pulse beverage corp,pulse beverage
10193,sooum corp.,sooum
10194,bank of marin bancorp,bank of marin ban
10195,golden growers cooperative,golden growers cooperative
10196,first reserve sustainable growth corp.,first reserve sustainable growth
10197,hudson city bancorp inc,hudson city bancorp
10198,"hour loop, inc.",hour loop
10199,phoenix plus corp.,phoenix plus
10200,ishares gold trust,ishares gold trust
10201,"ottawa savings bancorp, inc.",ottawa savings bancorp
10202,synovus financial corp,synovus financial
10203,xenon pharmaceuticals inc.,xenon pharmaceuticals
10204,"roundy's, inc.",roundy's
10205,dgoc series 18b lp,dgoc series 18b
10206,"fearless films, inc.",fearless films
10208,cardtronics plc,cardtronics pl
10209,"smith & wesson brands, inc.",smith & wesson brands
10210,"synchronoss technologies, inc",synchronoss technologies
10211,america great health,america great health
10212,barry r g corp /oh/,barry r g corp /oh/
10213,"revel ac, inc.",revel ac
10214,"peartrack security systems, inc.",peartrack security systems
10216,"dong xin chemical co., ltd.",dong xin chemical co.
10217,birner dental management services inc,birner dental management services
10219,"amincor, inc.",amincor
10220,"hawaiian telcom holdco, inc.",hawaiian telcom holdco
10221,quidel corporation,quidel
10222,"kernel group holdings, inc.",kernel group holdings
10223,"evoke pharma, inc.",evoke pharma
10224,prime number acquisition i corp.,prime number acquisition i
10225,greenlite ventures inc,greenlite ventures
10226,ezy cloud holding inc.,ezy cloud holding
10227,bright green corporation,bright green
10228,"paysign, inc.",paysign
10229,play la inc.,play la
10230,"better therapeutics, inc.",better therapeutics
10231,w. p. carey inc.,w. p. carey
10232,"xfuels, inc.",xfuels
10233,talos energy inc.,talos energy
10234,whitewave foods co,whitewave foods
10235,versatech usa,versatech usa
10237,"first industrial realty trust, inc.",first industrial realty trust
10238,deluxe corporation,deluxe
10239,"orbital infrastructure group, inc.",orbital infrastructure group
10240,astronics corporation,astronics
10241,celularity inc.,celularity
10242,"aots 34, inc.",aots 34
10244,dova pharmaceuticals inc.,dova pharmaceuticals
10245,"cracker barrel old country store, inc",cracker barrel old country store
10246,"trans-pacific aerospace company, inc.",trans-pacific aerospace company
10247,universal display corporation,universal display
10248,"ineedmd holdings, inc.",ineedmd holdings
10249,performance food group company,performance food group company
10250,china infrastructure investment corp,china infrastructure investment
10251,amesite inc.,amesite
10252,ehang holdings limited,ehang holdings limited
10253,"amazing energy oil & gas, co.",amazing energy oil & gas
10254,"platinum energy solutions, inc.",platinum energy solutions
10255,bally’s corporation,bally’s
10256,"intercept pharmaceuticals, inc.",intercept pharmaceuticals
10257,"nacco industries, inc.",nacco industries
10258,sigma aldrich corp,sigma aldrich
10259,"american renaissance capital, inc.",american renaissance capital
10260,"bioforce nanosciences holdings, inc.",bioforce nanosciences holdings
10263,biopower operations corporation,biopower operations
10264,aei net lease income & growth fund xix limited partnership,aei net lease income & growth fund xix limited partnership
10265,neologic animation inc,neologic animation
10266,mobad service corp,mobad service
10267,longfin corp,longfin
10268,"empire global gaming, inc.",empire global gaming
10270,"global water resources, inc.",global water resources
10271,onespan inc.,onespan
10272,capstone systems inc,capstone systems
10273,"landos biopharma, inc.",landos biopharma
10274,"mycotopia therapies, inc.",mycotopia therapies
10275,tc biopharm (holdings) plc,tc biopharm (holdings) pl
10276,"moody national reit i, inc.",moody national reit i
10277,"via renewables, inc.",via renewables
10278,west coast bancorp /new/or/,west coast bancorp /new/or/
10279,"cascade energy, inc.",cascade energy
10280,vilacto bio inc.,vilacto bio
10281,vicarious surgical inc.,vicarious surgical
10282,samson resources corp,samson resources
10283,the kroger co.,the kroger
10285,westmountain co,westmountain
10286,first niagara financial group inc,first niagara financial group
10287,magma design automation inc,magma design automation
10288,hpil holding,hpil holding
10290,floridian financial group inc,floridian financial group
10291,madison square garden entertainment corp.,madison square garden entertainment
10292,mbc funding ii corp.,mbc funding ii
10293,"advanced pipe fitting technologies, inc.",advanced pipe fitting technologies
10294,"bagger dave's burger tavern, inc.",bagger dave's burger tavern
10297,"caladrius biosciences, inc.",caladrius biosciences
10298,"ziwira, inc.",ziwira
10299,"leafly holdings, inc. /de","leafly holdings, inc. /de"
10300,boxxy inc.,boxxy
10301,zurn elkay water solutions corporation,zurn elkay water solutions
10303,fulton financial corp,fulton financial
10304,maxlinear inc.,maxlinear
10305,m line holdings inc,m line holdings
10306,ixia,ixia
10308,logistics innovation technologies corp.,logistics innovation technologies
10309,deere john capital corp,deere john capital
10310,"fsb bancorp, inc.",fsb bancorp
10312,priveterra acquisition corp.,priveterra acquisition
10313,multi-corp international inc.,multi-corp international
10314,"thermon group holdings, inc.",thermon group holdings
10315,china finance online co. ltd,china finance online co.
10316,modern holdings inc,modern holdings
10317,standard lithium ltd.,standard lithium
10318,"tabula rasa healthcare, inc.",tabula rasa healthcare
10319,"university general health system, inc.",university general health system
10320,"kentucky bancshares, inc.",kentucky bancshares
10321,dupont e i de nemours & co,dupont e i de nemours &
10322,schultze special purpose acquisition corp.,schultze special purpose acquisition
10323,china senior living industry international holding corp,china senior living industry international holding
10324,"coca-cola consolidated, inc.",coca-cola consolidated
10325,"bonanza one, inc.",bonanza one
10326,"ambarella, inc.",ambarella
10327,"paxmedica, inc.",paxmedica
10328,"nexeo solutions holdings, llc",nexeo solutions holdings
10329,"advanced emissions solutions, inc.",advanced emissions solutions
10330,"empowered products, inc.",empowered products
10331,"xenith bankshares, inc.",xenith bankshares
10332,energen corp,energen
10333,"kraft foods group, inc.",kraft foods group
10334,"aspen group, inc.",aspen group
10335,fednat holding company,fednat holding company
10336,looksmart ltd,looksmart
10337,oxford immunotec global plc,oxford immunotec global pl
10338,worksport ltd,worksport
10340,brookfield renewablepartners l.p.,brookfield renewablepartners
