,line,line_nostop,line_stemmed,line_length,word_count,tagged_line,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,symbol_count,list_markers_count,determiners_count,name_count,line_length_trans,word_count_trans,verb_percentage_trans,adj_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,number_percentage_trans,proper_noun_percentage_trans,company_count
18,RESUMES  AND  COVER  LETTERS  ,"['', 'resumes', 'cover', 'letters', '']","['', 'resumes', 'cover', 'letters', '']",23,6,"[('RESUMES', 'NNP'), ('AND', 'NNP'), ('COVER', 'NNP'), ('LETTERS', 'NNP')]",0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1.8721712305548575,1.8171205928321397,0.0,0.0,0.0,0.0,0.0,100.0,0
19,Create a Strong Resume ,"['create', 'strong', 'resume', '']","['create', 'strong', 'resume', '']",19,5,"[('Create', 'VB'), ('a', 'DT'), ('Strong', 'JJ'), ('Resume', 'NN')]",25.0,25.0,5.3,0.0,0.0,0.0,0.0,0.0,25.0,0,1.8019831273171423,1.7099759466766968,5.0,5.0,2.3021728866442674,0.0,0.0,0.0,0
20,A ,[''],[''],1,2,"[('A', 'DT')]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,1.0,1.2599210498948732,0.0,0.0,0.0,0.0,0.0,0.0,0
21,"resume  is  a  concise,  informative  summary ","['resume', 'concise', 'informative', 'summary', '']","['resume', 'concise', 'informative', 'summary', '']",35,7,"[('resume', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('concise', 'NN'), (',', ','), ('informative', 'JJ'), ('summary', 'NN')]",0.0,14.299999999999999,5.7,2.9000000000000004,0.0,0.0,0.0,0.0,14.299999999999999,0,2.0361680046403983,1.912931182772389,0.0,3.7815340802378072,2.3874672772626644,1.7029386365926402,0.0,0.0,0
22,"of your abilities, education, and experience. ","['abilities', 'education', 'experience', '']","['abilities', 'education', 'experience', '']",40,7,"[('of', 'IN'), ('your', 'PRP$'), ('abilities', 'NNS'), (',', ','), ('education', 'NN'), (',', ','), ('and', 'CC'), ('experience', 'NN'), ('.', '.')]",0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0,2.0912791051825463,1.912931182772389,0.0,0.0,2.7386127875258306,2.7386127875258306,0.0,0.0,0
23,"It should highlight your strongest assets and skills, ","['highlight', 'strongest', 'assets', 'skills', '']","['highlight', 'strongest', 'assets', 'skills', '']",46,9,"[('It', 'PRP'), ('should', 'MD'), ('highlight', 'VB'), ('your', 'PRP$'), ('strongest', 'JJS'), ('assets', 'NNS'), ('and', 'CC'), ('skills', 'NNS'), (',', ',')]",11.1,11.1,6.5,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0,2.1505600128111397,2.080083823051904,3.331666249791536,3.331666249791536,2.5495097567963922,1.4832396974191324,0.0,0.0,0
24,and differentiate you from other candidates seek- ,"['differentiate', 'candidates', 'seek', '']","['differentiate', 'candidates', 'seek', '']",43,8,"[('and', 'CC'), ('differentiate', 'VB'), ('you', 'PRP'), ('from', 'IN'), ('other', 'JJ'), ('candidates', 'NNS'), ('seek-', 'JJ')]",14.299999999999999,28.599999999999998,9.3,2.3,0.0,0.0,0.0,0.0,0.0,0,2.121747460841898,2.0,3.7815340802378072,5.347896782848375,3.0495901363953815,1.51657508881031,0.0,0.0,0
25,ing similar positions. Although it alone will not get ,"['ing', 'similar', 'positions', 'although', 'alone', 'get', '']","['ing', 'similar', 'positions', 'although', 'alone', 'get', '']",45,10,"[('ing', 'VBG'), ('similar', 'JJ'), ('positions', 'NNS'), ('.', '.'), ('Although', 'IN'), ('it', 'PRP'), ('alone', 'RB'), ('will', 'MD'), ('not', 'RB'), ('get', 'VB')]",20.0,10.0,6.7,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0,2.141127368338324,2.154434690031884,4.47213595499958,3.1622776601683795,2.588435821108957,1.4832396974191324,0.0,0.0,0
26,"you a job or internship, a good resume is an impor- ","['job', 'internship', 'good', 'resume', 'impor', '']","['job', 'internship', 'good', 'resume', 'impor', '']",41,12,"[('you', 'PRP'), ('a', 'DT'), ('job', 'NN'), ('or', 'CC'), ('internship', 'NN'), (',', ','), ('a', 'DT'), ('good', 'JJ'), ('resume', 'NN'), ('is', 'VBZ'), ('an', 'DT'), ('impor-', 'JJ')]",0.0,16.7,14.6,4.9,0.0,0.0,0.0,0.0,25.0,0,2.1016324782757847,2.2894284851066637,0.0,4.08656334834051,3.82099463490856,2.2135943621178655,0.0,0.0,0
27,tant element toward obtaining an interview. ,"['tant', 'element', 'toward', 'obtaining', 'interview', '']","['tant', 'element', 'toward', 'obtaining', 'interview', '']",38,7,"[('tant', 'JJ'), ('element', 'NN'), ('toward', 'IN'), ('obtaining', 'VBG'), ('an', 'DT'), ('interview', 'NN'), ('.', '.')]",14.299999999999999,14.299999999999999,2.6,2.6,0.0,0.0,0.0,0.0,14.299999999999999,0,2.069935054081614,1.912931182772389,3.7815340802378072,3.7815340802378072,1.61245154965971,1.61245154965971,0.0,0.0,0
28,Tailor  your  resume  to  the  type      of      position ,"['tailor', 'resume', 'type', 'position', '']","['tailor', 'resume', 'type', 'position', '']",35,9,"[('Tailor', 'NNP'), ('your', 'PRP$'), ('resume', 'NN'), ('to', 'TO'), ('the', 'DT'), ('type', 'NN'), ('of', 'IN'), ('position', 'NN')]",0.0,0.0,11.4,0.0,0.0,12.5,0.0,0.0,12.5,0,2.0361680046403983,2.080083823051904,0.0,0.0,3.3763886032268267,0.0,0.0,12.5,0
29,you  are  seeking.  This  doesn’t  mean  that  all  of ,"['seeking', 'mean', '']","['seeking', 'mean', '']",38,11,"[('you', 'PRP'), ('are', 'VBP'), ('seeking', 'VBG'), ('.', '.'), ('This', 'DT'), ('doesn', 'NN'), ('’', 'VBZ'), ('t', 'JJ'), ('mean', 'NN'), ('that', 'IN'), ('all', 'DT'), ('of', 'IN')]",8.3,8.3,18.4,2.6,0.0,0.0,0.0,0.0,16.7,0,2.069935054081614,2.2239800905693152,2.8809720581775866,2.8809720581775866,4.2895221179054435,1.61245154965971,0.0,0.0,0
30,"your  experiences  must  relate  directly,  but  your ","['experiences', 'must', 'relate', 'directly', '']","['experiences', 'must', 'relate', 'directly', '']",41,8,"[('your', 'PRP$'), ('experiences', 'NNS'), ('must', 'MD'), ('relate', 'VB'), ('directly', 'RB'), (',', ','), ('but', 'CC'), ('your', 'PRP$')]",12.5,0.0,7.3,2.4,0.0,0.0,0.0,0.0,0.0,0,2.1016324782757847,2.0,3.5355339059327378,0.0,2.701851217221259,1.5491933384829668,0.0,0.0,0
31,resume  should  reflect  the  kind  of  skills  the ,"['resume', 'reflect', 'kind', 'skills', '']","['resume', 'reflect', 'kind', 'skills', '']",37,9,"[('resume', 'NN'), ('should', 'MD'), ('reflect', 'VB'), ('the', 'DT'), ('kind', 'NN'), ('of', 'IN'), ('skills', 'NNS'), ('the', 'DT')]",12.5,0.0,10.8,0.0,0.0,0.0,0.0,0.0,25.0,0,2.058924136478517,2.080083823051904,3.5355339059327378,0.0,3.286335345030997,0.0,0.0,0.0,0
32,employer would value. ,"['employer', 'would', 'value', '']","['employer', 'would', 'value', '']",19,4,"[('employer', 'NN'), ('would', 'MD'), ('value', 'NN'), ('.', '.')]",0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0,1.8019831273171423,1.5874010519681994,0.0,0.0,0.0,2.3021728866442674,0.0,0.0,0
33,GETTING STARTED ,"['getting', 'started', '']","['getting', 'started', '']",14,3,"[('GETTING', 'NN'), ('STARTED', 'NNP')]",0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,1.6952182030724354,1.4422495703074083,0.0,0.0,0.0,0.0,0.0,50.0,0
34,•  Draft a resume using one of the templates on the OCS website. ,"['', 'draft', 'resume', 'using', 'one', 'templates', 'ocs', 'website', '']","['', 'draft', 'resume', 'using', 'one', 'templates', 'ocs', 'website', '']",51,14,"[('•', 'NN'), ('Draft', 'NNP'), ('a', 'DT'), ('resume', 'NN'), ('using', 'VBG'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('templates', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('OCS', 'NNP'), ('website', 'NN'), ('.', '.')]",7.1,0.0,9.8,2.0,7.1,14.299999999999999,0.0,0.0,21.4,0,2.19540189742749,2.4101422641752297,2.6645825188948455,0.0,3.1304951684997055,1.4142135623730951,7.1,14.299999999999999,0
35,•  Attend a Resume Workshop to learn the nuts and bolts of getting ,"['', 'attend', 'resume', 'workshop', 'learn', 'nuts', 'bolts', 'getting', '']","['', 'attend', 'resume', 'workshop', 'learn', 'nuts', 'bolts', 'getting', '']",53,14,"[('•', 'JJ'), ('Attend', 'NNP'), ('a', 'DT'), ('Resume', 'NNP'), ('Workshop', 'NNP'), ('to', 'TO'), ('learn', 'VB'), ('the', 'DT'), ('nuts', 'NNS'), ('and', 'CC'), ('bolts', 'NNS'), ('of', 'IN'), ('getting', 'VBG')]",15.4,7.7,9.4,0.0,0.0,23.1,0.0,0.0,15.4,0,2.2123568222761167,2.4101422641752297,3.924283374069717,2.7748873851023217,3.0659419433511785,0.0,0.0,23.1,0
36,started. See the OCS website for dates. ,"['started', 'see', 'ocs', 'website', 'dates', '']","['started', 'see', 'ocs', 'website', 'dates', '']",33,8,"[('started', 'VBN'), ('.', '.'), ('See', 'VB'), ('the', 'DT'), ('OCS', 'NNP'), ('website', 'NN'), ('for', 'IN'), ('dates', 'NNS'), ('.', '.')]",22.2,0.0,6.1,6.1,0.0,11.1,0.0,0.0,11.1,0,2.0123466170855586,2.0,4.711687595755898,0.0,2.4698178070456938,2.4698178070456938,0.0,11.1,0
37,•  View the OCS Recorded Resume Webinar available on our website. ,"['', 'view', 'ocs', 'recorded', 'resume', 'webinar', 'available', 'website', '']","['', 'view', 'ocs', 'recorded', 'resume', 'webinar', 'available', 'website', '']",54,12,"[('•', 'RB'), ('View', 'NNP'), ('the', 'DT'), ('OCS', 'NNP'), ('Recorded', 'NNP'), ('Resume', 'NNP'), ('Webinar', 'NNP'), ('available', 'JJ'), ('on', 'IN'), ('our', 'PRP$'), ('website', 'NN'), ('.', '.')]",0.0,8.3,5.6000000000000005,1.9,0.0,41.699999999999996,0.0,0.0,8.3,0,2.22064303492292,2.2894284851066637,0.0,2.8809720581775866,2.3664319132398464,1.378404875209022,0.0,41.699999999999996,1
38,"•  Get advice via drop-ins. Monday-Friday, 1:00-4:00pm - ask quick ","['', 'get', 'advice', 'via', 'dropins', 'mondayfriday', '100400pm', 'ask', 'quick', '']","['', 'get', 'advice', 'via', 'dropins', 'mondayfriday', '100400pm', 'ask', 'quick', '']",56,10,"[('•', 'JJ'), ('Get', 'NNP'), ('advice', 'NN'), ('via', 'IN'), ('drop-ins', 'NNS'), ('.', '.'), ('Monday-Friday', 'JJ'), (',', ','), ('1:00-4:00pm', 'JJ'), ('-', ':'), ('ask', 'NN'), ('quick', 'NN')]",0.0,25.0,0.0,14.299999999999999,0.0,8.3,0.0,0.0,0.0,0,2.2368538294402893,2.154434690031884,0.0,5.0,0.0,3.7815340802378072,0.0,8.3,0
39,career-related questions and have an adviser review your resume. ,"['careerrelated', 'questions', 'adviser', 'review', 'resume', '']","['careerrelated', 'questions', 'adviser', 'review', 'resume', '']",56,10,"[('career-related', 'JJ'), ('questions', 'NNS'), ('and', 'CC'), ('have', 'VBP'), ('an', 'DT'), ('adviser', 'NN'), ('review', 'VB'), ('your', 'PRP$'), ('resume', 'NN'), ('.', '.')]",10.0,10.0,7.1,3.5999999999999996,0.0,0.0,0.0,0.0,10.0,0,2.2368538294402893,2.154434690031884,3.1622776601683795,3.1622776601683795,2.6645825188948455,1.8973665961010275,0.0,0.0,0
40,"•  Look for industry specific resume review clinics, listed on the ","['', 'look', 'industry', 'specific', 'resume', 'review', 'clinics', 'listed', '']","['', 'look', 'industry', 'specific', 'resume', 'review', 'clinics', 'listed', '']",55,12,"[('•', 'JJ'), ('Look', 'NNP'), ('for', 'IN'), ('industry', 'NN'), ('specific', 'JJ'), ('resume', 'NN'), ('review', 'NN'), ('clinics', 'NNS'), (',', ','), ('listed', 'VBN'), ('on', 'IN'), ('the', 'DT')]",8.3,16.7,5.5,1.7999999999999998,0.0,8.3,0.0,0.0,8.3,0,2.2288073840335185,2.2894284851066637,2.8809720581775866,4.08656334834051,2.345207879911715,1.3416407864998738,0.0,8.3,0
41,Employer and Graduate School Calendar. ,"['employer', 'graduate', 'school', 'calendar', '']","['employer', 'graduate', 'school', 'calendar', '']",34,6,"[('Employer', 'NNP'), ('and', 'CC'), ('Graduate', 'NNP'), ('School', 'NNP'), ('Calendar', 'NNP'), ('.', '.')]",0.0,0.0,2.9000000000000004,2.9000000000000004,0.0,66.7,0.0,0.0,0.0,0,2.024397458499885,1.8171205928321397,0.0,0.0,1.7029386365926402,1.7029386365926402,0.0,66.7,0
42,RESUME TIPS ,"['resume', 'tips', '']","['resume', 'tips', '']",10,3,"[('RESUME', 'NNP'), ('TIPS', 'NNP')]",0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1.5848931924611136,1.4422495703074083,0.0,0.0,0.0,0.0,0.0,100.0,0
43,TOP 6 RESUME MISTAKES: ,"['top', '6', 'resume', 'mistakes', '']","['top', '6', 'resume', 'mistakes', '']",19,5,"[('TOP', 'JJ'), ('6', 'CD'), ('RESUME', 'NNP'), ('MISTAKES', 'NNP'), (':', ':')]",0.0,20.0,0.0,5.3,20.0,40.0,0.0,0.0,0.0,0,1.8019831273171423,1.7099759466766968,0.0,4.47213595499958,0.0,2.3021728866442674,20.0,40.0,0
44,RESUME LANGUAGE SHOULD BE: ,"['resume', 'language', '']","['resume', 'language', '']",23,5,"[('RESUME', 'NNP'), ('LANGUAGE', 'NNP'), ('SHOULD', 'NNP'), ('BE', 'NNP'), (':', ':')]",0.0,0.0,0.0,4.3,0.0,80.0,0.0,0.0,0.0,0,1.8721712305548575,1.7099759466766968,0.0,0.0,0.0,2.073644135332772,0.0,80.0,0
45,• Specific rather than general ,"['', 'specific', 'rather', 'general', '']","['', 'specific', 'rather', 'general', '']",26,6,"[('•', 'NN'), ('Specific', 'NNP'), ('rather', 'RB'), ('than', 'IN'), ('general', 'JJ')]",0.0,20.0,3.8,0.0,0.0,20.0,0.0,0.0,0.0,0,1.9186451916253062,1.8171205928321397,0.0,4.47213595499958,1.9493588689617927,0.0,0.0,20.0,0
46,• Active rather than passive ,"['', 'active', 'rather', 'passive', '']","['', 'active', 'rather', 'passive', '']",24,6,"[('•', 'RB'), ('Active', 'NNP'), ('rather', 'RB'), ('than', 'IN'), ('passive', 'VB')]",20.0,0.0,4.2,0.0,0.0,20.0,0.0,0.0,0.0,0,1.888175022589804,1.8171205928321397,4.47213595499958,0.0,2.04939015319192,0.0,0.0,20.0,0
47,• Written to express not impress ,"['', 'written', 'express', 'impress', '']","['', 'written', 'express', 'impress', '']",27,7,"[('•', 'RB'), ('Written', 'NNP'), ('to', 'TO'), ('express', 'VB'), ('not', 'RB'), ('impress', 'VB')]",33.300000000000004,0.0,7.3999999999999995,0.0,0.0,16.7,0.0,0.0,0.0,0,1.933182044931763,1.912931182772389,5.770615218501404,0.0,2.7202941017470885,0.0,0.0,16.7,1
48,• Articulate rather than “flowery” ,"['', 'articulate', 'rather', 'flowery', '']","['', 'articulate', 'rather', 'flowery', '']",30,6,"[('•', 'JJ'), ('Articulate', 'NNP'), ('rather', 'RB'), ('than', 'IN'), ('“', 'VB'), ('flowery', 'JJ'), ('”', 'NN')]",14.299999999999999,28.599999999999998,3.3000000000000003,0.0,0.0,14.299999999999999,0.0,0.0,0.0,0,1.97435048583482,1.8171205928321397,3.7815340802378072,5.347896782848375,1.8165902124584952,0.0,0.0,14.299999999999999,0
49,• Fact-based (quantify and qualify) ,"['', 'factbased', 'quantify', 'qualify', '']","['', 'factbased', 'quantify', 'qualify', '']",31,6,"[('•', 'JJ'), ('Fact-based', 'JJ'), ('(', '('), ('quantify', 'VB'), ('and', 'CC'), ('qualify', 'VB'), (')', ')')]",28.599999999999998,28.599999999999998,3.2,9.700000000000001,0.0,0.0,0.0,0.0,0.0,0,1.9873407546644581,1.8171205928321397,5.347896782848375,5.347896782848375,1.7888543819998317,3.1144823004794877,0.0,0.0,0
50,• Written for people who scan quickly ,"['', 'written', 'people', 'scan', 'quickly', '']","['', 'written', 'people', 'scan', 'quickly', '']",31,8,"[('•', 'NNS'), ('Written', 'NNP'), ('for', 'IN'), ('people', 'NNS'), ('who', 'WP'), ('scan', 'VBP'), ('quickly', 'RB')]",0.0,0.0,6.5,0.0,0.0,14.299999999999999,0.0,0.0,0.0,0,1.9873407546644581,2.0,0.0,0.0,2.5495097567963922,0.0,0.0,14.299999999999999,0
51,DON’T: ,[''],[''],6,3,"[('DON', 'NNP'), ('’', 'NNP'), ('T', 'NNP'), (':', ':')]",0.0,0.0,0.0,16.7,0.0,75.0,0.0,0.0,0.0,0,1.4309690811052556,1.4422495703074083,0.0,0.0,0.0,4.08656334834051,0.0,75.0,0
52,• Use personal pronouns (such as I) ,"['', 'use', 'personal', 'pronouns', '']","['', 'use', 'personal', 'pronouns', '']",29,8,"[('•', 'NN'), ('Use', 'NNP'), ('personal', 'JJ'), ('pronouns', 'NNS'), ('(', '('), ('such', 'JJ'), ('as', 'IN'), ('I', 'PRP'), (')', ')')]",0.0,22.2,6.9,6.9,0.0,11.1,0.0,0.0,0.0,0,1.961009057454548,2.0,0.0,4.711687595755898,2.6267851073127395,2.6267851073127395,0.0,11.1,0
53,• Abbreviate ,"['', 'abbreviate', '']","['', 'abbreviate', '']",11,3,"[('•', 'NN'), ('Abbreviate', 'NNP')]",0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,1.615394266202178,1.4422495703074083,0.0,0.0,0.0,0.0,0.0,50.0,0
54,• Use a narrative style ,"['', 'use', 'narrative', 'style', '']","['', 'use', 'narrative', 'style', '']",19,6,"[('•', 'NN'), ('Use', 'NNP'), ('a', 'DT'), ('narrative', 'JJ'), ('style', 'NN')]",0.0,20.0,5.3,0.0,0.0,20.0,0.0,0.0,20.0,0,1.8019831273171423,1.8171205928321397,0.0,4.47213595499958,2.3021728866442674,0.0,0.0,20.0,0
55,• Use slang or colloquialisms ,"['', 'use', 'slang', 'colloquialisms', '']","['', 'use', 'slang', 'colloquialisms', '']",25,6,"[('•', 'NN'), ('Use', 'NNP'), ('slang', 'NN'), ('or', 'CC'), ('colloquialisms', 'NN')]",0.0,0.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,0,1.9036539387158786,1.8171205928321397,0.0,0.0,2.0,0.0,0.0,20.0,0
56,• Include a picture ,"['', 'include', 'picture', '']","['', 'include', 'picture', '']",16,5,"[('•', 'NNS'), ('Include', 'VBP'), ('a', 'DT'), ('picture', 'NN')]",0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,25.0,0,1.7411011265922482,1.7099759466766968,0.0,0.0,2.4899799195977463,0.0,0.0,0.0,0
57,• Include age or gender ,"['', 'include', 'age', 'gender', '']","['', 'include', 'age', 'gender', '']",19,6,"[('•', 'JJ'), ('Include', 'NNP'), ('age', 'NN'), ('or', 'CC'), ('gender', 'NN')]",0.0,20.0,5.3,0.0,0.0,20.0,0.0,0.0,0.0,0,1.8019831273171423,1.8171205928321397,0.0,4.47213595499958,2.3021728866442674,0.0,0.0,20.0,0
